firebase-ml-vision-automl	firebase-ml-vision-automl	firebase_ml	pavelj	Yes - but no functional changes	18.0.4	18.0.5	not required	cl/307592076					b/154340952		
firebase_ml_vision_face	firebase-ml-vision-face-model	firebase_ml	pavelj	Yes - but no functional changes	20.0.0	20.0.1	not required	cl/307592076					b/154341663		
firebase_ml_vision_barcode	firebase-ml-vision-barcode-model	firebase_ml	pavelj	Yes - but no functional changes	16.1.0	16.1.1	not required	cl/307592076					b/154341032		
firebase_ml_vision_image_label	firebase-ml-vision-image-label-model	firebase_ml	pavelj	Yes - but no functional changes	20.0.0	20.0.1	not required	cl/307592076					b/154341650		
firebase_ml_vision_internal_vkp	firebase_ml_vision_internal_vkp	firebase_ml	pavelj	Yes - but no functional changes	17.0.0	17.0.1	not required	cl/307592076					b/154341531		
firebase-storage-api	firebase-storage	firebase_storage	mrschmidt		19.1.1										firebase-storage
firebase_common	firebase-common	firebase_common	ashwinraghav		19.3.0				N/A - no ref docs ever						firebase-common
firebase_common_ktx	firebase-common-ktx	firebase_common	ashwinraghav		19.3.0				N/A - no ref docs ever						firebase-common:ktx
firebase_components	firebase-components	firebase_components	vkryachko		16.0.0				N/A - no ref docs ever						firebase-components
firebase-firestore	firebase-firestore	N/A	wuandy	Yes - bug fixes only	21.4.2	21.4.3		cl/306743698					b/154148731		firebase-firestore
firebase-firestore-ktx	firebase-firestore-ktx	N/A	wuandy	Yes - bug fixes only	21.4.2	21.4.3		cl/306743698					b/154148454		firebase-firestore:ktx
gcm	play-services-gcm	gcm	ciarandowney		17.0.0				N/A - no ref docs ever						
iid	play-services-iid	gcm	ciarandowney		17.0.0				N/A - no ref docs ever						
firebase-iid	firebase-iid	firebase-messaging	ciarandowney	Yes - bug fixes only	20.1.5	20.1.6		cl/307505280					b/154341800		
firebase-iid-interop	firebase-iid-interop	firebase-iid-interop	ciarandowney		17.0.0				N/A - no ref docs ever						
firebase-messaging	firebase-messaging	firebase-messaging	ciarandowney	Yes - bug fixes only	20.1.5	20.1.6		cl/307505280					b/154341501		
appinvite	play-services-appinvite	firebase_dynamic_links	paulwroberts		18.0.0				N/A - no ref docs ever						
firebase_dynamic_links	firebase-dynamic-links	firebase_dynamic_links	paulwroberts		19.1.0										
analyticsservices	play-services-analytics-impl	gtm	barretta		17.0.0				N/A - no ref docs ever						
analyticsservices_app_library	play-services-analytics	gtm	barretta		17.0.0				N/A - no ref docs ever						
firebase_analytics	firebase-analytics	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0		cl/306698680	cl/307700998						
measurement_impl	firebase-analytics-impl	measurement	dhm		16.3.0										
measurement	play-services-measurement	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0			N/A - no ref docs ever						
measurement_api	play-services-measurement-api	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0			N/A - no ref docs ever						
measurement_base	play-services-measurement-base	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0			N/A - no ref docs ever						
measurement_sdk_api	play-services-measurement-sdk-api	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0			N/A - no ref docs ever						
measurement_sdk	play-services-measurement-sdk	measurement	dhm	Yes - includes new functionality	17.3.0	17.4.0			N/A - no ref docs ever						
tagmanager	play-services-tagmanager	gtm	eburley		17.0.0				N/A - no ref docs ever						
tagmanager-api	play-services-tagmanager-api	gtm	eburley		17.0.0				N/A - no ref docs ever						
tagmanager_legacy	play-services-tagmanager-v4-impl	gtm	eburley		17.0.0				N/A - no ref docs ever						
measurement_connector	firebase-measurement-connector	measurement_connector	dhm		18.0.0				N/A - no ref docs ever						
firebase_ads	firebase-ads		ashwinraghav		19.0.1										
firebase_ads_lite	firebase-ads-lite		ashwinraghav		19.0.1										
clearcut	play-services-clearcut	clearcut	eworoshow		17.0.0				N/A - no ref docs ever						
firebase_abt	firebase-abt	firebase_abt	welkinlan		19.0.1			N/A - no release notes ever	N/A - no ref docs ever						firebase-abt
firebase-database-collection	firebase-database-collection	firebase-database-collection	mrschmidt		17.0.1				N/A - no ref docs ever						firebase-database-collection
crash	firebase-crash	crash	tdeshpande		16.2.1										
firebase-perf	firebase-perf	firebase-perf	jamxl	Yes - but no functional changes	19.0.6	19.0.7		http://cl/306343317					b/154341551		
phenotype	play-services-phenotype	phenotype	eworoshow		17.0.0				N/A - no ref docs ever						
firebase_remote_config	firebase-config	firebase_remote_config	danasilver	Yes - but no functional changes	19.1.3	19.1.4	Not required	cl/306739261			b/hotlists/1559975		b/154149189		firebase-config
firebase_remote_config_ktx	firebase-config-ktx	firebase_remote_config_ktx	danasilver	Yes - but no functional changes	19.1.3	19.1.4	Not required	cl/306739261			b/hotlists/1559975	b/145207846	b/145208330		firebase-config:ktx
functions	firebase-functions	N/A	klimt		19.0.2										firebase-functions
functions-ktx	firebase-functions-ktx	N/A	klimt		19.0.2										firebase-functions:ktx
firebase_core	firebase-core	firebase_core	ashwinraghav		17.3.0				N/A - no ref docs ever						
firebase_invites	firebase-invites	firebase-invites	ciarandowney		17.0.0										
protolite-well-known-types	protolite-well-known-types		ashwinraghav		17.0.0				N/A - no ref docs ever						protolite-well-known-types
vision_image_label_impl	firebase-ml-vision-image-label-model	vision	pavelj		19.0.0										
vision_face_impl	firebase-ml-vision-face-model	vision	pavelj		19.0.0										
vision	play-services-vision	vision	pavelj		19.0.0										
vision_common	play-services-vision-common	vision	pavelj		19.0.0										
vision_image_label	play-services-vision-image-label	vision	pavelj		18.0.1										
icing	firebase-appindexing	icing	cassiewang		19.1.0										
firebase-inappmessaging	firebase-inappmessaging	N/A	jheron		19.0.4										firebase-inappmessaging
firebase-inappmessaging-ktx	firebase-inappmessaging-ktx	N/A	jheron		19.0.4										firebase-inappmessaging:ktx
firebase-inappmessaging-display	firebase-inappmessaging-display	N/A	jheron		19.0.4										firebase-inappmessaging-display
firebase-inappmessaging-display-ktx	firebase-inappmessaging-display-ktx	N/A	jheron		19.0.4										firebase-inappmessaging-display:ktx
google-services plugin 	n/a	n/a	davidmotson												
strict-version-matcher	n/a	n/a	davidmotson												
firebase-datatransport	firebase-datatransport	n/a	vkryachko	Yes - bug fixes only	17.0.3	17.0.4		N/A - no release notes ever					b/154148434		firebase-datatransport
transport-runtime	transport-runtime	n/a	vkryachko	Yes - bug fixes only	2.2.0	2.2.1		N/A - no release notes ever					b/154149288		transport:transport-runtime
transport-backend-cct	transport-backend-cct	n/a	vkryachko	Yes - bug fixes only	2.2.0	2.2.1		N/A - no release notes ever					b/154149270		transport:transport-backend-cct
transport-api	transport-api	n/a	vkryachko		2.2.0			N/A - no release notes ever							transport:transport-api
firebase-encoders-json	firebase-encoders-json	n/a	rlazo		16.1.0			N/A - no release notes ever							encoders:firebase-encoders-json
firebase-appdistribution-gradle	n/a	n/a	tundeagboola												
firebase-crashlytics	firebase-crashlytics	firebase-crashlytics	mrwillis	Yes - bug fixes only	17.0.0-beta04	17.0.0		cl/306887747					b/154149310		firebase-crashlytics
firebase-crashlytics-ndk	firebase-crashlytics-ndk	firebase-crashlytics-ndk	mrwillis	Yes - but no functional changes	17.0.0-beta04	17.0.0		cl/306887747					b/154148879		firebase-crashlytics-ndk
crashlytics-gradle	crashlytics-gradle	n/a	marcrichards	Yes - but no functional changes	17.0.0-beta04	2.0.0		cl/307041006					b/154329592		
firebase-installations	firebase-installations		andirayo	Yes - bug fixes only	16.2.1	16.2.2		cl/307624795 					b/154148979		firebase-installations
firebase-installations-interop	firebase-installations-interop		andirayo		16.0.0										
